City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain (inches),Snow (inches)
267,Coihaique,CL,-45.58,-72.07,30.2,92,25,2.44,scattered clouds,0.0,0
268,Sharan,RU,54.82,54.0,55.74,87,100,9.75,overcast clouds,0.0,0
269,Mogadishu,SO,2.04,45.34,78.15,83,100,16.06,light rain,0.56,0
270,Kumluca,TR,36.37,30.29,68.76,75,0,2.53,clear sky,0.0,0
271,Mirnyy,RU,62.54,113.96,60.8,87,75,8.95,broken clouds,0.0,0
272,Faanui,PF,-16.48,-151.75,79.05,80,100,14.58,overcast clouds,0.0,0
273,Caravelas,BR,-17.71,-39.25,70.16,67,42,4.07,scattered clouds,0.0,0
274,Ilulissat,GL,69.22,-51.1,39.2,86,76,4.7,broken clouds,0.0,0
275,Agnibilekrou,CI,7.13,-3.2,70.25,99,92,2.48,overcast clouds,0.0,0
276,Portland,US,45.52,-122.68,91.0,38,40,11.41,scattered clouds,0.0,0
277,Mitu,CO,1.2,-70.17,73.18,97,92,1.79,light rain,0.22,0
278,Gambela,ET,8.25,34.58,68.47,87,32,3.24,scattered clouds,0.0,0
279,Dombarovskiy,RU,50.76,59.54,64.54,41,50,12.24,scattered clouds,0.0,0
280,Cumberland,US,35.05,-78.87,77.0,88,90,8.05,moderate rain,2.67,0
281,Ballina,AU,-28.87,153.57,63.0,51,0,12.75,clear sky,0.0,0
282,Victor Harbor,AU,-35.57,138.62,57.0,80,97,7.67,overcast clouds,0.0,0
283,Ponta Do Sol,PT,32.67,-17.1,69.8,64,40,6.93,scattered clouds,0.0,0
284,Maragogi,BR,-9.01,-35.22,74.64,88,1,10.02,light rain,0.49,0
285,Nome,US,64.5,-165.41,54.0,54,90,13.87,overcast clouds,0.0,0
286,Dikson,RU,73.51,80.55,39.0,78,0,9.6,clear sky,0.0,0
287,Sadu,RO,45.67,24.18,62.6,93,75,3.36,broken clouds,0.0,0
288,Teya,RU,60.38,92.63,79.02,39,2,2.24,clear sky,0.0,0
289,Iqaluit,CA,63.75,-68.51,42.8,87,75,16.11,broken clouds,0.0,0
290,Atasu,KZ,48.68,71.64,56.91,62,59,17.45,broken clouds,0.0,0
291,Yangambi,CD,0.81,24.43,70.79,89,100,1.03,light rain,0.13,0
292,Paamiut,GL,61.99,-49.67,39.67,81,62,11.74,broken clouds,0.0,0
293,Klaksvik,FO,62.23,-6.59,50.0,81,0,13.87,clear sky,0.0,0
294,Zelenoborskiy,RU,66.84,32.36,51.04,65,99,1.32,overcast clouds,0.0,0
295,Port Hedland,AU,-20.32,118.57,80.6,24,0,10.29,clear sky,0.0,0
296,Adrar,MR,20.5,-10.07,92.7,31,0,6.96,clear sky,0.0,0
