City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Verkhnyaya Inta,RU,2020-06-20 18:48:03,65.98,60.31,43.05,94,100,7.81
234,Puerto Ayacucho,VE,2020-06-20 18:44:24,5.66,-67.62,89.6,55,40,2.82
235,Dingle,PH,2020-06-20 18:44:40,11.0,122.67,78.19,76,80,4.65
236,Souillac,MU,2020-06-20 18:48:03,-20.52,57.52,73.4,60,20,13.87
237,Torbay,CA,2020-06-20 18:48:04,47.67,-52.73,46.0,100,90,13.87
238,Tolmachevo,RU,2020-06-20 18:48:04,54.98,82.74,46.4,93,40,4.47
239,Kruisfontein,ZA,2020-06-20 18:48:04,-34.0,24.73,53.98,91,3,0.58
240,Sieradz,PL,2020-06-20 18:48:04,51.6,18.73,64.99,91,100,3.0
241,Nikolskoye,RU,2020-06-20 18:43:38,59.7,30.79,62.6,51,0,11.18
242,Westport,US,2020-06-20 18:47:06,41.14,-73.36,84.99,51,1,10.29
243,Norman Wells,CA,2020-06-20 18:44:42,65.28,-126.83,60.8,93,75,8.05
244,Smithfield,US,2020-06-20 18:48:05,41.92,-71.55,90.0,51,1,8.05
245,Kodiak,US,2020-06-20 18:48:05,57.79,-152.41,50.0,87,90,12.75
246,Mar Del Plata,AR,2020-06-20 18:46:35,-38.0,-57.56,57.99,66,100,4.7
247,Peniche,PT,2020-06-20 18:48:06,39.36,-9.38,72.0,73,0,11.01
248,Cockburn Town,TC,2020-06-20 18:48:06,21.46,-71.14,83.05,78,99,17.18
249,Pacifica,US,2020-06-20 18:48:06,37.61,-122.49,66.99,87,75,6.93
250,Magadan,RU,2020-06-20 18:48:06,59.57,150.8,49.03,86,2,3.67
251,Nombre De Dios,MX,2020-06-20 18:48:07,23.85,-104.23,84.2,25,40,8.05
252,Cidreira,BR,2020-06-20 18:48:07,-30.18,-50.21,71.78,87,77,2.89
253,Inhambane,MZ,2020-06-20 18:48:07,-23.86,35.38,65.41,82,0,5.03
254,Sorland,NO,2020-06-20 18:48:07,67.67,12.69,57.42,65,0,11.99
255,Micheweni,TZ,2020-06-20 18:48:07,-4.97,39.83,77.72,71,88,16.11
256,Kenai,US,2020-06-20 18:48:08,60.55,-151.26,52.0,81,90,6.93
257,Aklavik,CA,2020-06-20 18:48:08,68.22,-135.01,46.4,100,90,6.93
258,Yanam,IN,2020-06-20 18:48:08,16.73,82.22,82.69,76,100,4.88
259,Saint-Pierre,RE,2020-06-20 18:48:08,-21.34,55.48,68.0,77,67,10.29
260,Bridgetown,BB,2020-06-20 18:48:08,13.1,-59.62,86.0,74,20,20.8
261,Ucluelet,CA,2020-06-20 18:46:08,48.93,-125.55,59.0,100,90,8.05
262,Kon Tum,VN,2020-06-20 18:48:09,14.35,108.0,71.89,92,40,1.03
263,Hammerfest,NO,2020-06-20 18:48:09,70.66,23.68,46.4,81,0,6.93
264,Aguas Buenas,PR,2020-06-20 18:48:09,18.26,-66.1,91.0,57,43,5.99
265,Kirakira,SB,2020-06-20 18:48:10,-10.45,161.92,78.35,81,100,8.32
266,Nyurba,RU,2020-06-20 18:48:10,63.28,118.33,58.26,74,2,2.08
267,Lisakovsk,KZ,2020-06-20 18:48:10,52.54,62.49,63.01,50,0,11.36
268,Buraydah,SA,2020-06-20 18:44:46,26.33,43.98,93.2,21,3,10.29
269,Faanui,PF,2020-06-20 18:48:11,-16.48,-151.75,79.79,79,35,9.26
270,Iskateley,RU,2020-06-20 18:48:11,67.68,53.15,41.77,89,100,24.16
271,Mount Gambier,AU,2020-06-20 18:48:11,-37.83,140.77,46.4,93,90,4.7
272,Balezino,RU,2020-06-20 18:48:11,57.98,53.01,46.71,68,0,8.75
273,Pombas,CV,2020-06-20 18:48:12,17.15,-25.02,80.6,61,20,32.21
274,Umm Kaddadah,SD,2020-06-20 18:48:12,13.6,26.69,94.37,11,0,4.43
275,Mount Isa,AU,2020-06-20 18:43:54,-20.73,139.5,62.6,42,0,14.99
276,Sorong,ID,2020-06-20 18:48:12,-0.88,131.25,78.01,86,100,8.75
277,Tabuk,PH,2020-06-20 18:44:16,17.42,121.44,75.34,87,31,1.79
278,Khorixas,NA,2020-06-20 18:48:12,-20.37,14.97,56.14,50,2,1.57
279,Artesia,US,2020-06-20 18:48:13,33.87,-118.08,70.0,72,90,6.93
280,Derzhavinsk,KZ,2020-06-20 18:48:13,51.1,66.32,59.77,37,0,12.95
281,Comodoro Rivadavia,AR,2020-06-20 18:48:13,-45.87,-67.5,57.2,44,100,16.11
282,Cankuzo,BI,2020-06-20 18:48:13,-3.13,30.58,64.63,63,42,2.08
283,Milyutinskaya,RU,2020-06-20 18:48:13,48.63,41.67,76.59,44,100,13.0
284,Bani,DO,2020-06-20 18:48:14,18.28,-70.33,89.6,62,40,11.41
285,Brownsville,US,2020-06-20 18:44:52,25.9,-97.5,89.6,62,75,19.46
286,Airai,TL,2020-06-20 18:48:14,-8.93,125.41,54.79,99,4,3.78
287,Kilgore,US,2020-06-20 18:48:14,32.39,-94.88,88.0,54,20,9.17
288,Ahipara,NZ,2020-06-20 18:48:14,-35.17,173.17,52.81,85,46,5.37
289,Betare Oya,CM,2020-06-20 18:48:15,5.6,14.08,68.14,94,100,0.74
290,Mandalgovi,MN,2020-06-20 18:48:15,45.76,106.27,64.54,64,97,14.47
291,Port Augusta,AU,2020-06-20 18:48:15,-32.5,137.77,51.8,87,3,11.41
292,Goedereede,NL,2020-06-20 18:45:23,51.82,3.98,66.99,62,0,2.55
293,Sulphur Springs,US,2020-06-20 18:48:15,33.14,-95.6,87.01,45,40,12.75
294,Oranjestad,AW,2020-06-20 18:47:03,12.52,-70.03,89.6,62,40,20.8
295,Lata,PT,2020-06-20 18:44:57,40.16,-8.33,71.01,63,0,7.0
296,Carmen,MX,2020-06-20 18:48:16,18.63,-91.83,87.8,66,40,16.11
297,Morondava,MG,2020-06-20 18:48:16,-20.28,44.28,71.67,70,100,8.37
298,Milledgeville,US,2020-06-20 18:46:34,33.08,-83.23,89.01,43,40,4.7
299,Mattru,SL,2020-06-20 18:48:16,7.62,-11.83,75.65,95,85,2.91
300,Churapcha,RU,2020-06-20 18:48:17,62.0,132.43,56.07,76,9,4.56
301,Tilichiki,RU,2020-06-20 18:48:17,60.47,166.1,51.94,79,10,1.88
302,Ndele,CF,2020-06-20 18:48:17,8.41,20.65,72.0,90,56,4.47
303,Santiago Del Estero,AR,2020-06-20 18:48:17,-27.8,-64.26,74.8,53,0,5.66
304,Whitehorse,CA,2020-06-20 18:48:18,60.72,-135.05,59.0,72,75,12.75
